id,text,label
234,work project assignment report schedule lottery urgent,not spam
235,meeting meeting report report task cash urgent,not spam
236,project team team update project deal money,not spam
237,team project task team meeting offer discount,not spam
238,urgent urgent buy lottery deal schedule report,spam
239,team meeting deadline project deadline discount discount,not spam
240,team report update task update money cash,not spam
241,winner lottery lottery winner buy report report,spam
242,winner discount urgent buy buy schedule assignment,spam
243,assignment schedule update meeting project winner money,not spam
244,meeting project assignment project update lottery offer,not spam
245,report team schedule project schedule money urgent,not spam
246,assignment work task assignment work urgent discount,not spam
247,deadline task assignment update team cash money,not spam
248,team schedule report work schedule deal cash,not spam
249,update meeting project meeting assignment offer urgent,not spam
250,work work deadline task work deal urgent,not spam
251,winner urgent lottery lottery buy update work,spam
252,deadline schedule deadline work schedule offer offer,not spam
253,team team project team team cash discount,not spam
254,lottery money free urgent discount project project,spam
255,project schedule deadline update meeting deal free,not spam
256,work team project team team offer offer,not spam
257,schedule work task schedule meeting lottery free,not spam
258,lottery cash buy winner winner task deadline,spam
259,meeting assignment deadline report update lottery free,not spam
260,project assignment work project deadline money lottery,not spam
261,team report assignment report meeting deal discount,not spam
262,lottery urgent lottery urgent lottery report work,spam
263,work task project project work buy buy,not spam
264,offer cash discount buy money schedule schedule,spam
265,meeting report update report work money lottery,not spam
266,team update assignment meeting work urgent money,not spam
267,update work task deadline project offer discount,not spam
268,schedule task schedule team team offer money,not spam
269,buy free free urgent urgent schedule project,spam
270,task team assignment deadline schedule deal offer,not spam
271,buy lottery urgent buy cash work project,spam
272,report team report project meeting deal offer,not spam
273,deal cash cash urgent urgent schedule work,spam
274,money free buy offer winner report project,spam
275,team update schedule task task money discount,not spam
276,winner offer buy lottery buy deadline meeting,spam
277,meeting assignment task task update money urgent,not spam
278,team assignment report task meeting discount urgent,not spam
279,team schedule schedule report update free buy,not spam
280,task assignment team work project buy lottery,not spam
281,work deadline update task work lottery money,not spam
282,work task meeting team work urgent deal,not spam
283,money discount buy buy urgent update report,spam
284,urgent offer money discount lottery deadline deadline,spam
285,deadline team schedule team meeting deal lottery,not spam
286,meeting deadline team meeting team lottery cash,not spam
287,report update deadline schedule task buy lottery,not spam
288,buy money offer money money meeting deadline,spam
289,assignment team work project team deal winner,not spam
290,assignment report project team meeting deal winner,not spam
291,urgent money lottery money winner meeting report,spam
292,task deadline work task task money offer,not spam
293,task project schedule report assignment buy cash,not spam
294,buy free deal urgent free report schedule,spam
295,update meeting report meeting project deal free,not spam
296,project work report task work winner lottery,not spam
297,schedule meeting report work update winner buy,not spam
298,assignment deadline meeting report schedule winner cash,not spam
299,update deadline work schedule report money deal,not spam
300,deadline team meeting meeting meeting money money,not spam
301,update update update update project free urgent,not spam
302,work work deadline schedule task winner winner,not spam
303,lottery winner lottery money free work deadline,spam
304,deadline deadline task report update offer urgent,not spam
305,deal deal urgent free free schedule task,spam
306,work team task team update lottery free,not spam
307,report report assignment task deadline offer deal,not spam
308,discount cash lottery urgent discount deadline update,spam
309,deal urgent lottery offer buy schedule update,spam
310,offer buy urgent winner discount team work,spam
311,assignment project deadline assignment task buy winner,not spam
312,winner urgent cash money discount task report,spam
313,deadline project team task assignment winner offer,not spam
314,cash winner winner money offer project schedule,spam
315,lottery winner lottery discount discount meeting work,spam
316,deal cash deal deal buy schedule assignment,spam
317,team task report deadline assignment offer free,not spam
318,update assignment project assignment project offer buy,not spam
319,report deadline assignment task meeting cash urgent,not spam
320,lottery free buy urgent winner report project,spam
321,project report task task work money urgent,not spam
322,project assignment project deadline update deal money,not spam
323,offer urgent money urgent cash meeting assignment,spam
324,deadline update task task meeting deal buy,not spam
325,update work update assignment report buy offer,not spam
326,schedule project deadline project update urgent cash,not spam
327,report assignment assignment assignment project buy discount,not spam
328,report team deadline deadline update offer buy,not spam
329,cash winner free cash offer meeting project,spam
330,urgent buy free money offer deadline schedule,spam
331,deadline task project team deadline cash money,not spam
332,team deadline deadline work update winner cash,not spam
333,money free buy lottery urgent task project,spam
334,cash cash urgent offer buy report assignment,spam
335,team update schedule deadline meeting urgent lottery,not spam
336,task deadline assignment assignment report discount buy,not spam
337,assignment task work work project winner winner,not spam
338,work work update meeting meeting urgent deal,not spam
339,cash offer offer urgent cash assignment assignment,spam
340,schedule meeting update task report offer buy,not spam
341,buy urgent deal winner winner project team,spam
342,assignment report team deadline team winner cash,not spam
343,lottery buy winner money buy schedule task,spam
344,work work schedule assignment assignment free cash,not spam
345,update report report deadline task offer money,not spam
346,winner money offer discount deal project work,spam
347,project deadline project team deadline cash buy,not spam
348,deadline assignment work project schedule cash winner,not spam
349,buy money lottery deal buy meeting team,spam
350,urgent lottery winner deal buy report schedule,spam
351,buy discount buy money discount update meeting,spam
352,task meeting update assignment task deal lottery,not spam
353,winner offer offer urgent urgent schedule task,spam
354,offer free discount cash lottery meeting work,spam
355,money lottery winner deal buy meeting team,spam
356,urgent deal money deal winner team deadline,spam
357,lottery offer offer discount discount schedule assignment,spam
358,update assignment work task report offer free,not spam
359,team team project assignment project lottery discount,not spam
360,winner urgent offer lottery winner project update,spam
361,money deal offer urgent winner meeting update,spam
362,winner buy free cash lottery update project,spam
363,schedule update project team schedule winner cash,not spam
364,deadline schedule project work deadline free discount,not spam
365,team project report deadline work cash free,not spam
366,update deadline task schedule task buy deal,not spam
367,meeting report schedule team report lottery winner,not spam
368,meeting update meeting work report offer winner,not spam
369,assignment schedule meeting work task winner urgent,not spam
370,cash winner offer offer offer report task,spam
371,lottery offer free buy cash task work,spam
372,money buy discount money winner schedule update,spam
373,assignment update update report team lottery urgent,not spam
374,offer offer free offer deal report meeting,spam
375,buy discount buy buy buy assignment task,spam
376,winner cash free buy discount task schedule,spam
377,schedule task team task task urgent winner,not spam
378,free buy urgent urgent urgent team work,spam
379,deal money cash buy offer schedule report,spam
380,schedule meeting project team project money urgent,not spam
381,free urgent free urgent cash report meeting,spam
382,discount cash buy lottery lottery update schedule,spam
383,work schedule work work work winner free,not spam
384,task report team assignment assignment free cash,not spam
385,work team assignment project report lottery offer,not spam
386,deal urgent cash buy buy update project,spam
387,buy deal buy winner discount schedule meeting,spam
388,urgent deal free offer urgent team deadline,spam
389,deal deal urgent urgent buy project team,spam
390,assignment project report report meeting urgent cash,not spam
391,free buy winner money free meeting team,spam
392,cash lottery urgent money offer deadline report,spam
393,cash money cash free money team report,spam
394,free free money winner winner schedule project,spam
395,offer winner urgent urgent winner assignment meeting,spam
396,report report work project schedule winner buy,not spam
397,free lottery discount free offer deadline work,spam
398,offer lottery cash offer winner update team,spam
399,lottery cash urgent money winner assignment assignment,spam
400,cash urgent free discount lottery meeting assignment,spam
401,deadline work task schedule meeting urgent discount,not spam
402,update report schedule schedule update free free,not spam
403,cash discount offer free deal report project,spam
404,assignment team deadline meeting schedule discount urgent,not spam
405,cash free free deal winner team project,spam
406,meeting task work update project urgent winner,not spam
407,meeting assignment meeting update deadline buy cash,not spam
408,work update report meeting task cash money,not spam
409,task project work work schedule free free,not spam
410,project report project work meeting urgent urgent,not spam
411,project team project meeting report money urgent,not spam
412,team update assignment task update winner deal,not spam
413,update meeting update update deadline winner free,not spam
414,work update project meeting schedule free winner,not spam
415,offer offer buy deal buy schedule meeting,spam
416,offer money free deal cash schedule report,spam
417,discount cash money lottery money task assignment,spam
418,meeting work task schedule deadline urgent offer,not spam
419,offer offer discount cash discount assignment task,spam
420,buy lottery urgent free cash report team,spam
421,deadline meeting meeting assignment update offer lottery,not spam
422,schedule assignment team meeting project lottery deal,not spam
423,report report work work assignment winner urgent,not spam
424,deadline report schedule deadline task winner lottery,not spam
425,buy money lottery deal winner schedule task,spam
426,discount free urgent urgent discount task task,spam
427,work assignment assignment project work cash winner,not spam
428,report deadline schedule project update winner money,not spam
429,cash winner lottery winner cash task team,spam
430,project project schedule project schedule buy urgent,not spam
431,buy winner cash urgent urgent team team,spam
432,task deadline deadline project report money offer,not spam
433,lottery discount deal free money team deadline,spam
434,money discount money discount urgent task project,spam
435,project meeting team update report urgent winner,not spam
436,report deadline schedule team deadline deal money,not spam
437,meeting task schedule deadline project free discount,not spam
438,project update meeting work report offer buy,not spam
439,buy urgent cash buy money task project,spam
440,team schedule assignment schedule schedule buy free,not spam
441,task deadline update update schedule money buy,not spam
442,team project schedule task deadline free deal,not spam
443,task project task team work money discount,not spam
444,assignment deadline work project update urgent lottery,not spam
445,meeting assignment task project project offer free,not spam
446,lottery deal lottery urgent offer meeting team,spam
447,free deal deal buy deal update work,spam
448,winner urgent money cash free team schedule,spam
449,winner winner discount money free work team,spam
450,meeting report report work project buy winner,not spam
451,report task work update task money urgent,not spam
452,task meeting task schedule schedule buy discount,not spam
453,meeting team project project task cash lottery,not spam
454,work meeting report schedule update free discount,not spam
455,discount offer lottery offer money schedule work,spam
456,offer urgent offer money discount project assignment,spam
457,offer winner deal urgent deal assignment schedule,spam
458,winner free money winner buy report project,spam
459,cash winner lottery urgent lottery report assignment,spam
460,assignment assignment deadline report task urgent buy,not spam
461,discount cash winner discount winner schedule update,spam
462,update team report task assignment offer lottery,not spam
463,task meeting meeting schedule update free money,not spam
464,team schedule assignment schedule deadline money offer,not spam
465,meeting report task work meeting money deal,not spam
466,work meeting task team work money deal,not spam
467,assignment report schedule schedule schedule urgent winner,not spam
468,free offer free money money deadline assignment,spam
469,urgent urgent discount free offer meeting schedule,spam
470,deadline work schedule schedule schedule deal urgent,not spam
471,lottery offer winner money deal schedule update,spam
472,update project deadline task task urgent offer,not spam
473,winner money money deal deal task work,spam
474,update work work report report lottery money,not spam
475,money free urgent discount lottery task work,spam
476,deal offer offer money winner schedule meeting,spam
477,team assignment meeting task project discount cash,not spam
478,assignment assignment work team task offer money,not spam
479,team task meeting task report lottery discount,not spam
480,cash buy winner buy cash task update,spam
481,team report meeting project project discount money,not spam
482,report project report team deadline offer urgent,not spam
483,money discount urgent cash money task deadline,spam
484,task report assignment schedule project money urgent,not spam
485,deal discount discount deal discount assignment task,spam
486,team deadline report work team buy lottery,not spam
487,project work meeting update report deal offer,not spam
488,schedule deadline meeting meeting deadline offer offer,not spam
489,assignment report update deadline project free free,not spam
490,cash cash deal cash cash report project,spam
491,urgent urgent discount urgent offer task deadline,spam
492,offer deal free winner discount work work,spam
493,update assignment team update team offer winner,not spam
494,cash money deal lottery offer meeting meeting,spam
495,lottery deal money winner winner assignment deadline,spam
496,winner discount buy lottery buy assignment deadline,spam
497,offer offer offer offer winner assignment report,spam
498,project assignment team task work money cash,not spam
499,update project deadline team team buy lottery,not spam
500,update schedule project team work deal winner,not spam
501,work task report update schedule cash discount,not spam
502,project project assignment project work free lottery,not spam
503,task update team assignment schedule winner discount,not spam
504,winner winner cash buy discount team meeting,spam
505,meeting update task work project free free,not spam
506,offer deal money deal free deadline project,spam
507,schedule team assignment report project buy buy,not spam
508,assignment schedule assignment deadline assignment urgent cash,not spam
509,report task update meeting work buy winner,not spam
510,cash cash buy free money work assignment,spam
511,buy deal cash cash discount deadline meeting,spam
512,deadline work deadline update deadline deal cash,not spam
513,lottery cash money free discount deadline schedule,spam
514,urgent lottery money free deal assignment project,spam
515,assignment project schedule team team deal lottery,not spam
516,winner cash discount free offer deadline task,spam
517,money offer winner money buy deadline team,spam
518,task team task meeting meeting cash offer,not spam
519,winner cash lottery free cash task project,spam
520,project task assignment team deadline discount cash,not spam
521,offer buy deal discount discount report assignment,spam
522,free buy winner offer discount deadline deadline,spam
523,team schedule update report assignment discount winner,not spam
524,team meeting task work task money lottery,not spam
525,project schedule meeting update team money lottery,not spam
526,discount buy deal offer lottery assignment assignment,spam
527,team task deadline update deadline deal urgent,not spam
528,offer urgent deal winner winner team update,spam
529,assignment assignment assignment team meeting buy offer,not spam
530,report report deadline work update urgent discount,not spam
531,discount cash free offer winner report report,spam
532,winner discount buy free urgent task update,spam
533,deal winner offer deal buy meeting schedule,spam
534,team update assignment schedule project deal winner,not spam
535,assignment task report report update offer cash,not spam
536,work task work schedule update buy discount,not spam
537,free deal winner free winner update project,spam
538,schedule task team update project winner free,not spam
539,free buy buy discount buy report update,spam
540,winner winner deal cash winner deadline deadline,spam
541,report work update schedule meeting offer offer,not spam
542,work assignment report report team deal money,not spam
543,task schedule team work report money lottery,not spam
544,free discount discount deal lottery task schedule,spam
545,money cash money buy lottery meeting task,spam
546,offer urgent buy cash lottery report schedule,spam
547,offer lottery deal deal winner team report,spam
548,money cash cash free deal report report,spam
549,team report project work assignment deal money,not spam
550,meeting deadline update report team free free,not spam
551,cash buy free buy cash deadline schedule,spam
552,deadline project schedule deadline deadline buy buy,not spam
553,deadline deadline team assignment work free cash,not spam
554,lottery discount lottery offer discount project report,spam
555,schedule project report deadline work buy free,not spam
556,meeting deadline assignment schedule report free deal,not spam
557,lottery cash cash urgent deal task update,spam
558,project deadline work report report lottery lottery,not spam
559,offer urgent urgent cash offer deadline work,spam
560,task project work assignment assignment free deal,not spam
561,discount deal offer offer urgent task task,spam
562,project report report task update discount lottery,not spam
563,team assignment task report report offer buy,not spam
564,free buy deal lottery cash team meeting,spam
565,offer offer free discount deal work assignment,spam
566,team meeting task update team offer discount,not spam
567,task project work task deadline free deal,not spam
568,discount cash deal offer free team project,spam
569,money discount money winner free project meeting,spam
570,deadline schedule schedule task update winner lottery,not spam
571,free buy lottery free buy team project,spam
572,deal free buy cash cash update work,spam
573,lottery buy cash discount urgent update update,spam
574,buy winner money buy winner assignment task,spam
575,cash cash money discount free work meeting,spam
576,cash cash money free offer update update,spam
577,winner discount lottery money urgent team schedule,spam
578,cash free offer winner discount team assignment,spam
579,free cash winner money free deadline deadline,spam
580,deadline task update update team winner offer,not spam
581,deal winner urgent winner lottery report work,spam
582,lottery buy money free free schedule assignment,spam
583,project assignment assignment schedule meeting deal discount,not spam
584,buy urgent deal winner winner team update,spam
585,project schedule task task task money lottery,not spam
586,free deal deal money winner deadline update,spam
587,deadline deadline project project task lottery free,not spam
588,team report team work work offer money,not spam
589,team schedule project report update deal free,not spam
590,deal winner deal buy urgent work deadline,spam
591,deadline assignment work team update free money,not spam
592,money discount offer money money meeting team,spam
593,free discount free lottery urgent report team,spam
594,schedule meeting assignment report team cash lottery,not spam
595,schedule assignment schedule report schedule money cash,not spam
596,urgent deal discount cash discount schedule deadline,spam
597,discount lottery winner lottery cash team project,spam
598,update update work work deadline offer deal,not spam
599,money winner discount buy discount work work,spam
600,deal deal free cash money update meeting,spam
601,meeting team meeting report team deal urgent,not spam
602,project project task assignment team money lottery,not spam
603,buy winner free discount discount team task,spam
604,project work task schedule deadline discount buy,not spam
605,update deadline update update deadline free deal,not spam
606,project meeting project report team lottery urgent,not spam
607,lottery discount discount buy buy update deadline,spam
608,task meeting task assignment update discount discount,not spam
609,deadline update report task meeting urgent lottery,not spam
610,task report team schedule task offer cash,not spam
611,project deadline task deadline report offer money,not spam
612,schedule deadline assignment project team lottery winner,not spam
613,lottery cash free winner deal deadline deadline,spam
614,task meeting team report report free offer,not spam
615,deal buy winner urgent money deadline team,spam
616,project assignment assignment deadline update deal winner,not spam
617,money lottery money offer winner meeting task,spam
618,meeting assignment schedule report update offer offer,not spam
619,deal discount deal cash money team report,spam
620,team meeting work report report offer discount,not spam
621,schedule work team meeting team free lottery,not spam
622,task assignment schedule schedule assignment free urgent,not spam
623,task update project update schedule lottery buy,not spam
624,urgent buy winner winner winner project team,spam
625,report report meeting deadline work discount offer,not spam
626,buy buy cash deal urgent task update,spam
627,lottery urgent lottery discount urgent schedule schedule,spam
628,team team assignment project meeting money buy,not spam
629,urgent free lottery free discount team update,spam
630,update team schedule task task winner cash,not spam
631,discount cash discount lottery discount meeting assignment,spam
632,buy discount buy free offer team assignment,spam
633,team task report assignment deadline buy winner,not spam
634,deal offer lottery free deal assignment schedule,spam
635,urgent urgent discount discount cash team update,spam
636,assignment deadline team schedule report urgent winner,not spam
637,offer winner money discount cash assignment project,spam
638,discount lottery cash deal lottery task deadline,spam
639,discount money discount winner urgent task task,spam
640,deadline task work work report lottery discount,not spam
641,report assignment project deadline team money free,not spam
642,assignment update update task project discount free,not spam
643,money buy money winner cash task team,spam
644,update assignment team update meeting money free,not spam
645,project project task task deadline free lottery,not spam
646,urgent cash winner winner deal schedule schedule,spam
647,winner money lottery cash money task report,spam
648,team team report project update free cash,not spam
649,task project project project report urgent free,not spam
650,update team team task work cash offer,not spam
651,winner lottery lottery buy winner meeting meeting,spam
652,lottery deal winner lottery free assignment update,spam
653,task work work assignment deadline winner discount,not spam
654,meeting work deadline schedule project winner free,not spam
655,task schedule task report work discount winner,not spam
656,work task assignment meeting work discount offer,not spam
657,project report assignment deadline report offer offer,not spam
658,project work work deadline team urgent free,not spam
659,urgent money urgent money free task deadline,spam
660,meeting deadline team meeting update cash discount,not spam
661,update update deadline work schedule deal offer,not spam
662,update project project task task money buy,not spam
663,money free free money discount schedule deadline,spam
664,lottery money money money buy schedule assignment,spam
665,free deal discount deal offer project deadline,spam
666,work report work team report urgent winner,not spam
667,project work deadline update deadline free urgent,not spam
668,schedule report project assignment schedule free free,not spam
669,lottery urgent deal free lottery assignment team,spam
670,offer money deal winner cash task assignment,spam
671,winner offer money winner offer task task,spam
672,meeting task assignment task assignment urgent buy,not spam
673,work team report update report free cash,not spam
674,offer deal deal lottery free schedule work,spam
675,report update work report work winner buy,not spam
676,schedule work work team report offer winner,not spam
677,deal deal buy offer offer schedule team,spam
678,schedule update meeting schedule project lottery winner,not spam
679,update assignment meeting update task buy money,not spam
680,task report schedule project task money offer,not spam
681,lottery lottery urgent cash urgent meeting meeting,spam
682,schedule assignment team report team deal discount,not spam
683,team project team assignment assignment buy cash,not spam
684,discount winner free free money schedule work,spam
685,discount offer money offer buy work schedule,spam
686,deadline deadline report team schedule deal winner,not spam
687,buy deal winner discount deal work report,spam
688,cash free free deal money team task,spam
689,money free cash lottery free meeting task,spam
690,urgent free lottery deal deal schedule work,spam
691,offer discount buy cash buy report update,spam
692,team task deadline schedule update discount offer,not spam
693,winner urgent free free discount project schedule,spam
694,money discount deal money winner task schedule,spam
695,offer discount free lottery free assignment team,spam
696,project schedule update work schedule offer urgent,not spam
697,meeting meeting deadline schedule task discount money,not spam
698,task task meeting task schedule offer buy,not spam
699,offer buy winner winner free schedule deadline,spam
700,schedule report assignment team assignment winner lottery,not spam
701,work deadline update task update cash buy,not spam
702,cash deal urgent urgent cash work work,spam
703,task meeting deadline assignment update free winner,not spam
704,assignment project work task report buy cash,not spam
705,discount urgent free winner cash project report,spam
706,assignment update task update deadline cash discount,not spam
